,id,origin,entity,category
5751,1115777861,Laborum,java,programming language
5752,1115777861,Laborum,javascript,programming language
5754,1115777861,Laborum,react,programming language
5755,1115777861,Laborum,angular.js,programming language
5756,1115777861,Laborum,vuejs,programming language
5772,1115777853,Laborum,java,programming language
5795,1115777853,Laborum,nodejs,programming language
5799,1115777853,Laborum,java,programming language
5821,1115777853,Laborum,html,programming language
5822,1115777853,Laborum,css,programming language
5824,1115777853,Laborum,javascript,programming language
5850,1115777791,Laborum,sap,programming language
5851,1115777791,Laborum,windows,programming language
5856,1115777791,Laborum,machine learning,programming language
5881,1115777628,Laborum,sql server,programming language
5887,1115777628,Laborum,python,programming language
5905,1115777554,Laborum,s4 hana,programming language
5939,1115777483,Laborum,python,programming language
5941,1115777483,Laborum,scala,programming language
5943,1115777483,Laborum,javascript,programming language
6005,1115776691,Laborum,.net,programming language
6006,1115776691,Laborum,c#,programming language
6007,1115776691,Laborum,vb,programming language
6008,1115776691,Laborum,.net,programming language
6010,1115776691,Laborum,html5,programming language
6011,1115776691,Laborum,css3,programming language
6012,1115776691,Laborum,javascript,programming language
6028,1115776691,Laborum,unity,programming language
6029,1115776691,Laborum,c#,programming language
6030,1115776691,Laborum,unreal,programming language
6036,1115776664,Laborum,sql,programming language
6042,1115776664,Laborum,.net,programming language
6043,1115776664,Laborum,c#,programming language
6043,1115776664,Laborum,vb,programming language
6044,1115776664,Laborum,.net,programming language
6104,1115776654,Laborum,.net,programming language
6118,1115776654,Laborum,c#,programming language
6119,1115776654,Laborum,vb,programming language
6141,1115769752,Laborum,c#,programming language
6142,1115769752,Laborum,java,programming language
6146,1115769752,Laborum,c# javascript,programming language
6183,1115771149,Laborum,.net,programming language
6184,1115771149,Laborum,asp.net,programming language
6185,1115771149,Laborum,c#,programming language
6225,1115769657,Laborum,linux,programming language
6226,1115769657,Laborum,docker,programming language
6241,1115769162,Laborum,suse,programming language
6242,1115769162,Laborum,redhat,programming language
6243,1115769162,Laborum,fedora,programming language
6244,1115769162,Laborum,centos,programming language
6255,1115769162,Laborum,j2ee,programming language
6257,1115769162,Laborum,oracle,programming language
6290,38476,GetOnBoard,wordpress,programming language
6293,38476,GetOnBoard,php,programming language
6294,38476,GetOnBoard,javascript,programming language
6295,38476,GetOnBoard,html,programming language
6296,38476,GetOnBoard,css,programming language
6299,38476,GetOnBoard,wordpress,programming language
6302,38476,GetOnBoard,php,programming language
6303,38476,GetOnBoard,javascript,programming language
6304,38476,GetOnBoard,html,programming language
6305,38476,GetOnBoard,css,programming language
6308,38476,GetOnBoard,wordpress,programming language
6311,38476,GetOnBoard,php,programming language
6312,38476,GetOnBoard,javascript,programming language
6313,38476,GetOnBoard,html,programming language
6314,38476,GetOnBoard,css,programming language
6317,38476,GetOnBoard,wordpress,programming language
6320,38476,GetOnBoard,php,programming language
6321,38476,GetOnBoard,javascript,programming language
6322,38476,GetOnBoard,html,programming language
6323,38476,GetOnBoard,css,programming language
6326,38476,GetOnBoard,wordpress,programming language
6329,38476,GetOnBoard,php,programming language
6330,38476,GetOnBoard,javascript,programming language
6331,38476,GetOnBoard,html,programming language
6332,38476,GetOnBoard,css,programming language
6335,38476,GetOnBoard,wordpress,programming language
6338,38476,GetOnBoard,php,programming language
6339,38476,GetOnBoard,javascript,programming language
6340,38476,GetOnBoard,html,programming language
6341,38476,GetOnBoard,css,programming language
6344,38476,GetOnBoard,wordpress,programming language
6347,38476,GetOnBoard,php,programming language
6348,38476,GetOnBoard,javascript,programming language
6349,38476,GetOnBoard,html,programming language
6350,38476,GetOnBoard,css,programming language
6353,38476,GetOnBoard,wordpress,programming language
6356,38476,GetOnBoard,php,programming language
6357,38476,GetOnBoard,javascript,programming language
6358,38476,GetOnBoard,html,programming language
6359,38476,GetOnBoard,css,programming language
6362,38476,GetOnBoard,wordpress,programming language
6365,38476,GetOnBoard,php,programming language
6366,38476,GetOnBoard,javascript,programming language
6367,38476,GetOnBoard,html,programming language
6368,38476,GetOnBoard,css,programming language
6371,38476,GetOnBoard,wordpress,programming language
6374,38476,GetOnBoard,php,programming language
6375,38476,GetOnBoard,javascript,programming language
6376,38476,GetOnBoard,html,programming language
6377,38476,GetOnBoard,css,programming language
6380,38476,GetOnBoard,wordpress,programming language
6383,38476,GetOnBoard,php,programming language
6384,38476,GetOnBoard,javascript,programming language
6385,38476,GetOnBoard,html,programming language
6386,38476,GetOnBoard,css,programming language
6389,38476,GetOnBoard,wordpress,programming language
6392,38476,GetOnBoard,php,programming language
6393,38476,GetOnBoard,javascript,programming language
6394,38476,GetOnBoard,html,programming language
6395,38476,GetOnBoard,css,programming language
6398,38476,GetOnBoard,wordpress,programming language
